1,機械巨人,14352
2,利安斯兵,16560
3,利安斯,19320
4,第二型加隆,29808
5,第二型羅恩法爾,29808
6,第二型達瑪斯,29808
7,亞瑟 -劍術之城-,42504
8,亞瑟 -技巧之場-,42504
9,亞瑟 -魔法之派-,42504
10,綠之騎士,49128
11,異界的女王,49128
12,選拔騎士,49128
13,潘,45816
14,機械巨人,45816
15,塔拉斯克斯,58512
16,布蘭迪哥利斯兵,51888
17,布蘭迪哥利斯兵,51888
18,布蘭迪哥利斯,55200
19,尤廉斯兵,55200
20,尤廉斯兵,55200
21,尤廉斯,58512
22,尤廉斯,61824
23,摩根,65136
24,摩根,71760
25,利安斯兵,51888
26,利安斯兵,51888
27,洛特-加龍省兵,51888
28,洛特-加龍省兵,51888
29,摩高斯,71760
30,摩高斯,75072
31,洛特,71760
32,洛特,75072
33,洛特,78384
34,龍1等級,78384
35,龍1等級,81696
36,龍1等級,88320
37,妮妙,91632
38,君士坦丁,91632
39,第二型梅裡奧特,94944
40,特異型漢尼拔,98256
41,支援型格妮妲,101568
42,梅林,104880
89,綠之騎士,9999999
1001,特殊型羅艾娜,100
1002,支援型律涅特,100
1003,支援型奧爾特莉特,100
1004,試作型伏提庚,100
1005,第二型歌爾莉凡絲,100
1006,支援型艾文,100
1100,梅林,17664
1101,梅林,25944
1102,梅林,34224
1103,梅林,42504
1104,梅林,50784
2001,進擊型梅林,2307360
2004,西西莉亞,12365
2005,覺醒西西莉亞,15180
2006,艾蕾娜,9936
2007,覺醒艾蕾娜,15603
2008,藍帽子,12622
2009,覺醒藍帽子,15456
2010,覺醒凱爾皮,15603
2011,凱爾皮,11592
2024,凱特西,9660
2025,覺醒凱特西,15309
2028,空戰型德萊姆,12880
2029,覺醒德萊姆,15732
2030,空戰型蘇珊・法蘭克,11040
2031,覺醒蘇珊・法蘭克,12917
2032,陸戰型璐璐．卡爾,20976
2033,覺醒陸戰型璐璐．卡爾,23184
2034,霜線,18216
2035,覺醒霜線,24822
2036,古亞加．改,15014
2037,覺醒古亞加．改,20645
2038,炎夏型桂妮薇兒,920736
2039,夜刀神十香,15898
2040,巨劍夜刀神十香,17370
2041,四糸乃,14352
2042,冰結四糸乃,18142
2043,時崎狂三,17517
2044,狂化時崎狂三,20866
2045,夜刀神十香,15898
2046,巨劍夜刀神十香,17370
2047,四糸乃,14352
2048,冰結四糸乃,18142
2049,溫特莉,15898
2050,覺醒溫特莉,17370
2051,娜米兔,14352
2052,覺醒娜米兔,18142
2053,希蒂絲,24656
2054,覺醒希蒂絲,29146
2055,波寇,20976
2056,覺醒波寇,26275
2057,禁書目錄,1571360
2058,沃菲,15898
2059,覺醒沃菲,17370
2060,米庫拉姆,14352
2061,覺醒米庫拉姆,18142
2062,俠客蘭斯洛特,70840
2063,朝日美優,12917
2064,覺醒朝日美優,16008
2065,愛莎,14720
2066,覺醒愛莎,16008
2067,巡戰型胡德,27600
2068,聖劍胡德,27600
2069,艾洛索爾,12917
2070,覺醒艾洛索爾,16008
2071,帕爾法姆,14720
2072,覺醒帕爾法姆,16008
2073,服部半藏,13138
2074,影蹤服部半藏,17075
2075,松永久秀,15309
2076,操傀松永久秀,15732
2077,年獸,9715
2078,比南珊,15198
3000,亞瑟 -魔法之派-,167440
3001,亞瑟 -技巧之場-,189520
3002,亞瑟 -劍術之城-,167440
3003,亞瑟 -魔法之派-,189520
3004,亞瑟 -技巧之場-,167440
3005,亞瑟 -劍術之城-,189520
3006,高文,196880
3007,亞瑟 -技巧之場-,218960
3008,亞瑟 -劍術之城-,196880
3009,摩高斯,218960
3010,特異型漢尼拔,196880
3011,摩高斯,218960
3012,高文,196420
3013,亞瑟 -技巧之場-,229540
3014,蘭斯洛特,207460
3015,亞瑟 -劍術之城-,229540
3016,第二型羅恩法爾,207460
3017,佩格帕烏拉,229540
3018,亞瑟 -魔法之派-,223560
3019,加拉哈德,234600
3020,亞瑟 -魔法之派-,245640
3021,亞瑟 -魔法之派-,223560
3022,加拉哈德,234600
3023,亞瑟 -魔法之派-,245640
3024,梅利甘斯兵,234600
3025,亞瑟 -劍術之城-,245640
3026,蘭斯洛特,267260
3027,蘭斯洛特,267260
3028,亞瑟 -劍術之城-,351072
3029,亞瑟 -技巧之場-,267260
3030,莫德雷德兵,286120
3031,莫德雷德兵,288420
